file,sublevel,grid_size,n_states,win_prob,expected_steps
B-1,45,6,94,0.000000,4.34
B-1,46,6,105,0.000000,53.84
B-1,47,6,112,0.000125,30.85
B-1,48,6,137,0.000063,57.15
B-1,49,6,96,0.000000,18.09
B-1,50,6,86,0.000001,34.99
B-1,51,6,71,0.000028,84.46
B-1,52,6,96,0.000001,3.79
B-1,53,6,101,0.000000,101.03
B-1,54,6,132,0.000000,142.47
B-1,55,6,77,0.066667,9.34
B-1,56,6,121,0.000013,84.86
B-1,57,6,94,0.062500,3.62
B-1,58,6,104,0.000000,151.17
B-1,59,6,108,0.047475,109.09
B-1,60,6,92,0.000000,5.60
B-1,61,6,106,0.000000,4.30
B-1,62,6,118,0.000000,6.84
B-1,63,6,5,0.062500,2.38
B-1,64,6,139,0.015022,18.19
B-1,65,6,100,0.000000,102.10
B-1,66,6,98,0.000001,9.93
B-1,67,6,98,0.000005,53.70
B-1,68,6,167,0.017595,27.63
B-1,69,6,95,0.000003,167.50
B-1,70,6,93,0.001916,5.39
B-1,71,6,77,0.001359,31.95
B-1,72,6,114,0.000000,22.76
B-1,73,6,87,0.000000,118.99
B-1,74,6,105,0.062500,3.54
B-1,75,6,97,0.000001,1.80
B-1,76,6,76,0.000001,1.69
B-1,77,6,110,0.250000,14.99
B-1,78,6,88,0.000034,28.01
B-1,79,6,136,0.000031,15.79
B-1,80,6,101,0.000916,218.25
B-1,81,6,84,0.051843,282.51
B-1,82,6,127,0.000000,6.47
B-1,83,6,122,0.000011,77.09
B-1,84,6,129,0.000020,61.22
B-1,85,6,77,0.000000,2.26
B-1,86,6,77,0.000484,101.74
B-1,87,6,102,0.016606,436.75
B-1,88,6,79,0.000001,216.05
B-1,89,6,53,0.000000,2.17
B-1,90,6,64,0.000000,2.65
B-1,91,6,85,0.000205,8.83
B-1,92,6,128,0.000000,60.53
B-1,93,6,108,0.000000,46.87
B-1,94,6,85,0.000011,16.16
B-1,95,6,112,0.000003,143.09
B-1,96,6,99,0.000000,34.07
B-1,97,6,100,0.000000,85.06
B-1,98,6,125,0.000000,12.45
B-1,99,6,83,0.250137,2.55
B-2,0,6,155,0.417787,96.47
B-2,1,6,138,0.193445,47.32
B-2,2,6,144,0.000150,21.18
B-2,3,6,193,0.019356,15.73
B-2,4,6,136,0.012398,6.87
B-2,5,6,51,0.231500,42.70
B-2,6,6,51,0.515993,75.89
B-2,7,6,86,0.099915,51.05
B-2,8,6,78,0.000304,9.06
B-2,9,6,167,0.126117,41.78
B-2,10,6,18,0.002237,2.85
B-2,11,6,127,0.196762,58.82
B-2,12,6,37,0.000730,1.75
B-2,13,6,54,0.000029,5.01
B-2,14,6,38,0.004892,1.90
B-2,15,6,90,0.000898,6.97
B-2,16,6,112,0.001906,13.29
B-2,17,6,48,0.020774,4.86
B-2,18,6,64,0.162839,20.99
B-2,19,6,72,0.000108,34.81
B-2,20,6,95,0.038500,58.62
B-2,21,6,146,0.529066,82.34
B-2,22,6,46,0.031823,16.88
B-2,23,6,45,0.270878,27.99
B-2,24,6,104,0.040141,10.92
B-2,25,6,55,0.001469,2.95
B-2,26,6,260,0.002235,29.47
B-2,27,6,42,0.023857,7.90
B-2,28,6,76,0.009383,6.13
B-2,29,6,64,0.069363,18.22
B-2,30,6,92,0.001791,3.47
B-2,31,6,53,0.009940,3.78
B-2,32,6,123,0.049358,61.08
B-2,33,6,65,0.074446,61.95
B-2,34,6,73,0.175117,69.22
B-2,35,6,49,0.003184,4.22
B-2,36,6,43,0.022854,5.46
B-2,37,6,306,0.209561,22.86
B-2,38,6,62,0.041236,50.63
B-2,39,6,80,0.048691,14.18
B-2,40,6,159,0.000172,7.89
B-2,41,6,119,0.061255,27.64
B-2,42,6,49,0.001731,2.25
B-2,43,6,76,0.027358,7.19
B-2,44,6,73,0.282833,63.70
B-2,45,6,55,0.002087,54.66
B-2,46,6,160,0.002802,83.77
B-2,47,6,130,0.000031,104.26
B-2,48,6,109,0.008901,4.60
B-2,49,6,74,0.078255,6.30
B-2,50,6,99,0.001414,35.39
B-2,51,6,40,0.003433,2.79
B-2,52,6,50,0.003309,5.76
B-2,53,6,135,0.006654,12.10
B-2,54,6,91,0.032146,22.94
B-2,55,6,129,0.626042,47.08
B-2,56,6,55,0.000046,3.11
B-2,57,6,95,0.001187,3.64
B-2,58,6,60,0.001706,3.24
B-2,59,6,74,0.002240,1.87
B-2,60,6,87,0.004954,7.85
B-2,61,6,45,0.012576,2.98
B-2,62,6,66,0.023578,6.75
B-2,63,6,109,0.001094,3.65
B-2,64,6,108,0.107510,16.73
B-2,65,6,97,0.187715,41.73
B-2,66,6,89,0.034080,40.19
B-2,67,6,119,0.024255,6.74
B-2,68,6,81,0.028658,4.75
B-2,69,6,114,0.281902,73.71
B-2,70,6,134,0.002481,3.20
B-2,71,6,164,0.012091,16.65
B-2,72,6,49,0.000900,4.01
B-2,73,6,199,0.019791,9.46
B-2,74,6,36,0.002876,2.58
B-2,75,6,117,0.000001,8.54
B-2,76,6,161,0.524332,108.08
B-2,77,6,124,0.237880,201.55
B-2,78,6,75,0.095464,3.37
B-2,79,6,118,0.055307,11.55
B-2,80,6,111,0.014771,4.86
B-2,81,6,94,0.022814,25.15
B-2,82,6,51,0.000441,4.70
B-2,83,6,87,0.050439,10.77
B-2,84,6,44,0.006936,3.07
B-2,85,6,75,0.000533,2.57
B-2,86,6,72,0.005694,2.82
B-2,87,6,78,0.009302,4.49
B-2,88,6,177,0.000011,6.60
B-2,89,6,100,0.020837,7.86
B-2,90,6,71,0.216723,46.37
B-2,91,6,66,0.047002,22.39
B-2,92,6,108,0.020878,6.52
B-2,93,6,120,0.531695,44.82
B-2,94,6,91,0.003817,6.15
B-2,95,6,109,0.039599,13.41
B-2,96,6,142,0.356571,60.97
B-2,97,6,81,0.011644,93.13
B-2,98,6,49,0.057145,3.22
B-2,99,6,220,0.045978,8.97
B-3,0,6,54,0.834862,80.72
B-3,1,6,40,0.019111,32.08
B-3,2,6,64,0.004790,8.10
B-3,3,6,32,0.040226,31.29
B-3,4,6,48,0.000620,7.37
B-3,5,6,51,0.029546,6.71
B-3,6,6,66,0.000041,114.74
B-3,7,6,81,0.003272,8.01
B-3,8,6,52,0.001363,2.92
B-3,9,6,45,0.099972,16.51
B-3,10,6,28,0.177030,52.14
B-3,11,6,55,0.000050,1.81
B-3,12,6,35,0.000194,2.78
B-3,13,6,74,0.000013,2.47
B-3,14,6,90,0.059808,12.97
B-3,15,6,66,0.002202,5.43
B-3,16,6,87,0.053118,26.77
B-3,17,6,57,0.003684,5.72
B-3,18,6,34,0.005981,3.29
B-3,19,6,95,0.000000,9.82
B-3,20,6,40,0.013354,4.81
B-3,21,6,75,0.613479,76.10
B-3,22,6,40,0.000982,6.04
B-3,23,6,51,0.390818,33.05
B-3,24,6,21,0.234018,52.67
B-3,25,6,40,0.012223,5.59
B-3,26,6,28,0.002494,2.59
B-3,27,6,71,0.025273,8.51
B-3,28,6,32,0.001118,20.30
B-3,29,6,43,0.004997,18.53
B-3,30,6,106,0.103952,10.44
B-3,31,6,60,0.003126,52.04
B-3,32,6,52,0.022872,9.20
B-3,33,6,97,0.024546,16.48
B-3,34,6,34,0.014751,4.93
B-3,35,6,99,0.001022,11.12
B-3,36,6,78,0.025921,16.53
B-3,37,6,58,0.002148,3.20
B-3,38,6,57,0.043138,6.77
B-3,39,6,75,0.004842,7.32
B-3,40,6,60,0.097290,42.99
B-3,41,6,103,0.188519,67.27
B-3,42,6,63,0.362285,92.44
B-3,43,6,51,0.000885,3.41
B-3,44,6,38,0.126607,47.94
B-3,45,6,67,0.092033,49.96
B-3,46,6,82,0.033579,14.29
B-3,47,6,42,0.048873,30.23
B-3,48,6,42,0.031366,6.77
B-3,49,6,49,0.035605,23.56
B-3,50,6,32,0.034466,13.57
B-3,51,6,65,0.478935,101.27
B-3,52,6,30,0.065403,5.89
B-3,53,6,110,0.080536,22.14
B-3,54,6,48,0.000764,3.16
B-3,55,6,30,0.024342,5.78
B-3,56,6,59,0.068742,19.05
B-3,57,6,38,0.043916,7.26
B-3,58,6,56,0.021238,6.73
B-3,59,6,64,0.028546,17.92
B-3,60,6,24,0.057497,10.49
B-3,61,6,24,0.006111,47.23
B-3,62,6,77,0.092715,54.51
B-3,63,6,24,0.033695,33.71
B-3,64,6,73,0.112411,2.78
B-3,65,6,41,0.084153,4.17
B-3,66,6,90,0.440785,96.54
B-3,67,6,44,0.018774,16.71
B-3,68,6,51,0.194897,96.87
B-3,69,6,84,0.042522,18.54
B-3,70,6,64,0.316228,51.51
